Work item Id,Summary,Work type,Status,Priority,Labels,Description,Sprint,Story Points,Parent,Reporter,Assignee,Due date
EPIC5,Epic 5 -- RCA Quality v2 (close-out),Epic,Done,High,RCA-Quality,"Backfill Sprint 3's epic record with the RCA-quality work shipped between 2026-04-23 and 2026-04-29. Most stories are already Done; this epic captures them under a single Sprint 3 banner so the historical record matches when work actually shipped.

Goals:
- Per-service Drain3 (dict[service -> TemplateMiner]) live for spring-boot, nginx, proxy, otel-agent-init
- Closed-loop operator feedback (override/confirm) wired end-to-end
- F-1..F-5 RCA prose hardening: Drain3 webhook enrichment, hallucination blocklist, F-4 confidence clamp, surface-only LEDE validator, retry-on-violations
- 11-archetype exemplar library + suggested-actions philosophy rewrite (D17/D18/D19)
- Pod-level alert rules (PodHighMemoryUsage, PodHighCpuUsage)
- Chaos test harness with 4 test classes + RCA scorer
- Daily audit pipelines (static + live) firing at 12:00 UTC
- Audit repo migrations to private monitoring-audit-results

Out of scope:
- The 4 high-leverage stories that triggered this epic's existence (US-3.9 onwards) are tracked under EPIC8 (Hallucination firewall)",SCRUM Sprint 3,,,Lina Laaraich,,08/May/26
EPIC6,Epic 6 -- Operator feedback loop,Epic,To Do,High,Feedback,"Capture per-decision operator feedback (thumbs up/down + structured tags + free-text correction) and expose it via MCP for future RCAs to learn from. Curated RAG retrieval (originally planned as US-3.3 + US-3.4) deferred to Sprint 4 since it depends on accumulated feedback volume.

Goals:
- Extend (do NOT replace) the existing US-5.3 feedback table with rating/tags/actual_root_cause/comment/rater columns
- New POST /decisions/{id}/feedback endpoint
- Minimal vanilla-JS rating UI at /static/rate.html with email + dashboard integration
- 4 read-only MCP tools on rca_history_mcp: get_feedback_stats, get_high_rated_examples, get_similar_decisions(min_quality), get_low_rated_examples_for_alert
- Prometheus metrics + Grafana panel for feedback observability

Out of scope (deferred to Sprint 4):
- Weekly curation job (was US-3.3) -- gates on feedback volume
- BM25 RAG retrieval into prompt (was US-3.4) -- gates on curated YAML existing",SCRUM Sprint 3,,,Lina Laaraich,,08/May/26
EPIC7,Epic 7 -- Drain3 baseline lifecycle,Epic,To Do,Medium,Drain3,"Activate the dormant S3 baseline plumbing in app/drain_analyzer.py. Every needed function already exists -- they just need a scheduler, a boot-time restore call, and three operator-facing endpoints.

Why: a fresh pod has no way to catch up to the last known-good baseline. An on-call engineer who knows the system is healthy can't tell Drain3 ""learn from this moment.""

Goals:
- Boot-time download_baseline_from_s3() if local persistence empty AND bucket configured
- APScheduler in-process upload_snapshot_to_s3() at configurable interval
- Three operator endpoints: POST /drain3/snapshot, POST /drain3/baseline/tag, POST /drain3/baseline/restore
- IAM policy + Grafana panel for snapshot age visibility

Out of scope vs. backlog #1:
- sources.yaml + topology hashing + calibration mode deferred. Dynamic discovery (US-5.1 Phase A) already works; hard-coding sources would regress that.",SCRUM Sprint 3,,,Lina Laaraich,,08/May/26
EPIC8,Epic 8 -- Hallucination firewall + trace depth,Epic,To Do,High,Hallucination-Firewall,"Closes the structural gap exposed by the 2026-04-29 HighKongP95Latency 0b215ef3 incident along two dimensions: MCP-only data access (every data source the LLM sees must come through an MCP bridge -- no direct DB / Prometheus / in-process reads) and trace depth (drill into per-span attributes via the existing get_trace MCP tool that was never wired up).

Why: the 0b215ef3 decision emailed kubectl set resources --limits=memory=2Gi + kubectl rollout restart deploy/spring-boot as remediation for a Kong p95 latency alert. Investigation found three structural causes: (a) the F-4 confidence clamp adjusted the trust signal but didn't strip templated actions; (b) the pipeline never called get_trace(trace_id) so the LLM saw only service-boundary trace summaries; (c) several code paths read data directly (entity_baselines -> Prometheus, bounded_agency -> SQLite, exemplars -> in-process import), bypassing the MCP hallucination firewall.

MCP-only invariant (durable architectural rule): every data source the LLM sees must come through an MCP bridge. Direct httpx/requests/DB calls are forbidden outside the MCP servers themselves and the sanctioned _mcp_call helper. Boot-time/migration code is exempt -- it never feeds the LLM.

Tier mapping:
- Tier 0 (S3-HF-01): F-4 clamp strips actions -- ships immediately, ~45 min
- Tier 1 (S3-HF-07): trace drill via get_trace MCP -- the structural fix
- Tier 2 (S3-HF-03): hypothesis-menu validator -- backstop
- Tier 4 (S3-HF-09): chaos scorer 5th axis + corpus seed + CI gate -- measurement scaffold for Sprint 4
- MCP integrity (S3-HF-04, 05, 06, 08): four code-path refactors + a CI lint
- Bug (S3-HF-02): defensive template-lookup tests; actual root cause was LLM hallucination neutralized by S3-HF-01

Out of scope (deferred to Sprint 4):
- Tier 3 -- Iterative agentic gather (hypothesis-tree state, 3-5 day rewrite of bounded_agency.py). Gates on Sprint 3's Tier 4 measurement scaffold being green first.",SCRUM Sprint 3,,,Lina Laaraich,,08/May/26
S3-CO-01,US-5.1 Phase A -- Per-service Drain3 (dict[service -> TemplateMiner]),Story,Done,High,RCA-Quality,"Replaced the global TemplateMiner with dict[service -> TemplateMiner] backed by FilePersistence per service. Auto-migrates pre-Phase-A drain3_state.bin to _unknown.bin. Adds /drain3/stats?service= query param. Live: spring-boot, nginx, proxy, otel-agent-init each have their own miner.

---
Story Points: 3
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO1 (sprint3-plan.md)",SCRUM Sprint 3,3,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-02,US-5.1 Phase B -- Entity baselines (verification pending),Story,In Progress,High,RCA-Quality,"Code complete: app/entity_baselines.py + BaselineFacts dataclass + sigma-claim helper + 5-parallel-Prometheus quantile_over_time fetch. Verification still pending -- need to confirm a real RCA cites a baseline-sigma claim like ""X is N sigma above the same-hour 7-day baseline"". S3-HF-04 (MCP integrity refactor) closes this verification dependency by routing the baseline path through prometheus_mcp.

---
Story Points: 3
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO2 (sprint3-plan.md)
Blocked by: S3-HF-04 (MCP integrity refactor will unblock verification)",SCRUM Sprint 3,3,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-03,US-5.3 -- Closed-loop feedback (override/confirm),Story,Done,High,RCA-Quality,"/feedback/override and /feedback/confirm endpoints + feedback table in SQLite + lazy triage_precision/triage_recall Prometheus metrics + similarity check in pre-LLM suppression. Feedback loop is wired end-to-end.

---
Story Points: 5
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO3 (sprint3-plan.md)",SCRUM Sprint 3,5,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-04,US-5.4 -- Adaptive thresholds on flappiest rules,Story,Done,Medium,RCA-Quality,"Adaptive-threshold logic shipped on the 3 flappiest rules: HighCpuUsage, HighMemoryUsage, MediumDiskUsage. Reduces phantom DatasourceNoData fires.

---
Story Points: 3
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO4 (sprint3-plan.md)",SCRUM Sprint 3,3,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-05,US-5.8 -- Recurrence gates,Story,Done,High,RCA-Quality,"app/recurrence_gate.py with pre_llm_gate (Step 1c) + post_llm_gate (after US-5.3 override). Critical-severity bypass via _is_critical(). Per-rule opt-in via recurrence_gate annotation; MediumCpuUsage + MediumMemoryUsage opted in.

---
Story Points: 5
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO5 (sprint3-plan.md)",SCRUM Sprint 3,5,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
S3-CO-06,RCA quality hardening F-1 through F-5,Story,Done,Highest,RCA-Quality,"Five-part hardening of the RCA prose pipeline.

F-1: Drain3 webhook now carries new template strings + sample anomalous lines.
F-1.5: pipeline.py overrides ctx.anomaly_summary with the rich webhook description.
F-2: surface-only LEDE regex + retry-on-validator-violations.
F-3: hallucination_blocklist.yaml -- alert-keyed YAML rejecting alert-internal phrases (e.g. /actuator/* on HighP95Latency).
F-4: confidence clamp to <= 0.4 if surface-only hit OR rca_quality=data_starved OR templated actions.
F-5: wildcard-services exemplar score ceiling (intentional design).

Note: F-4 originally clamped confidence only -- the strip-suggested-actions extension shipped 2026-04-29 under S3-HF-01.

---
Story Points: 8
Epic: Epic 5 -- RCA Quality v2 (close-out)
Sprint: SCRUM Sprint 3
Due date: 8 May 2026
Cross-reference: US-3-CO6 (sprint3-plan.md)",SCRUM Sprint 3,8,EPIC5,Lina Laaraich,Lina Laaraich,08/May/26
